area_id,cargo
1,PROFESIONAL ECONOMICO SOCIAL V( COORDINADOR GENERAL DEL PROYECTO)
1,PROFESIONAL ECONOMICO SOCIAL V (JEFE DE METODOLOGIA)
1,PROFESIONAL ECONOMICO SOCIAL III (ASESOR METODOLOGICO DEL PROYECTO)
1,PROFESIONAL ADMINISTRATIVO III ( JEFE DE ADMINISTRACION)
1,PROFESIONAL ADMINISTRATIVO I (COORDINADOR DE RECURSOS HUMANOS)
1,PROFESIONAL ADMINISTRATIVO I (ASISTENTE ADMINISTRATIVO)
1,ASISTENTE ESPECIALISTA ADMINISTRATIVO V (ASISTENTE ADMINISTRATIVO)
1,ASISTENTE ESPECIALISTA ADMINISTRATIVO IV (ASISTENTE ADMINISTRATIVO)
2,PROFESIONAL ECONOMICO SOCIAL II (JEFE DE SEGMENTACION)
2,TECNICO ECONOMICO SOCIAL III ( SEGMENTISTA)
2,PROFESIONAL ECONOMICO SOCIAL II (RESPONSABLE DE PROGRAMACION TERRITORIAL)
2,TECNICO INFORMATICO VII (ANALISTA DE PROGRAMACION DE RUTAS)
2,TECNICO ECONOMICO SOCIAL IV (PROGRAMADOR DE RUTA)
2,TECNICO ECONOMICO SOCIAL III (OPERADOR)
3,PROFESIONAL ECONOMICO SOCIAL I (METODOLOGO C)
3,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL V (ASISTENTE DE CAPACITACION E INFORMES)
3,TECNICO INFORMATICO  VI (ASISTENTE DE CAPACITACION E INFORMES)
3,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL IV (ASISTENTE DE CAPACITACION E INFORMES)
3,PROFESIONAL INFORMATICO III (INFORMATICO 1)
3,TECNICO INFORMATICO V (ASISTENTE INFORMATICO)
4,PROFESIONAL ECONOMICO SOCIAL IV (JEFE DE CAMPO NACIONAL)
4,PROFESIONAL ECONOMICO SOCIAL III (ESPECIALISTA DE OPERACIÓN CAMPO)
4,PROFESIONAL ECONOMICO SOCIAL I (COORDINADOR DE MONITOREO NACIONAL)
4,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL V (ESPECIALISTA DE MONITOREO - LIMA-NACIONAL)
4,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL IV (MONITOR NACIONAL)
4,PROFESIONAL ECONOMICO SOCIAL I (COORDINADOR REGIONAL)
4,PROFESIONAL ECONOMICO SOCIAL II (COORDINADOR DE SUPERVISORES NACIONALES)
4,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL V (SUPERVISOR NACIONAL)
4,ASISTENTE ESPECIALISTA ECONOMICO SOCIAL III (SUPERVISOR DISTRITAL)
4,TECNICO ADMINISTRATIVO IV (ASISTENTE ADMINISTRATIVO REGIONAL)
4,TECNICO ADMINISTRATIVO III ( ASISTENTE ADMINISTRATIVO DISTRITAL)
5,TECNICO ECONOMICO SOCIAL IV ( TECNICO DE ARCHIVO A)
5,TECNICO ECONOMICO SOCIAL III (TECNICO DE ARCHIVO B)
5,TECNICO ECONOMICO SOCIAL II (TECNICO DE ARCHIVO C)
5,PROBANDO TECNICO INFORMATICOS GENIUS
